Verb_Lemma,No_of_Senses,"Verb_Lemma,No_of_Senses,Used_Sense_IDs"
विसरणे,2,"विसरणे,2,""['6046']"""
व्हावेणे,0,"व्हावेणे,0,""['27694', '4918']"""
शकणे,2,"शकणे,2,""['10150']"""
शिरणे,4,"शिरणे,4,""['3438']"""
शोधणे,2,"शोधणे,2,""['5330']"""
शोभणे,1,"शोभणे,1,""['53913']"""
संपवणे,2,"संपवणे,2,""['7212']"""
सजवणे,3,"सजवणे,3,""['2557']"""
समजणे,9,"समजणे,9,""['8221']"""
सांगणे,11,"सांगणे,11,""['4300']"""
सांभाळणे,10,"सांभाळणे,10,""['9140']"""
सोडणे,18,"सोडणे,18,""['16404', '19020', '5435']"""
सोपवणे,1,"सोपवणे,1,""['19105']"""
स्वीकारणे,6,"स्वीकारणे,6,""['2015', '8222']"""
हो,0,"हो,0,""['12180', '12505', '27694', '3986', '4918']"""
